Library Description,C1,C2,C3,p,ds,rho,nH,T,H,E
p320000_ds0.004_rho2550_nH18_T12_Ep5e7_mu0.50,-2.854427814,-5.650784016,5.843567371,320000,0.004,2550,18,12,0.072,50000000
p260000_ds0.004_rho2600_nH15_T10_Ep5e7_mu0.50,-2.96080637,-6.932068825,3.056348324,260000,0.004,2600,15,10,0.06,50000000
p300000_ds0.004_rho2350_nH18_T12_Ep5e7_mu0.50,-2.778070688,-6.994976521,1.685941696,300000,0.004,2350,18,12,0.072,50000000
p300000_ds0.006_rho2350_nH18_T10_Ep5e7_mu0.50,-2.965803146,-7.636382103,1.121575594,300000,0.006,2350,18,10,0.108,50000000
p300000_ds0.006_rho2350_nH18_T12_Ep5e7_mu0.50,-2.964341164,-7.438411236,1.768153667,300000,0.006,2350,18,12,0.108,50000000
p500000_ds0.005_rho2550_nH30_T10_Ep5e7_mu0.50,-2.657291651,-5.887554169,3.992727518,500000,0.005,2550,30,10,0.15,50000000
p200000_ds0.006_rho2600_nH12_T16_Ep5e7_mu0.50,-3.119954348,-8.131837845,1.000503182,200000,0.006,2600,12,16,0.072,50000000
p200000_ds0.006_rho2450_nH12_T16_Ep5e7_mu0.50,-3.136656523,-8.049365997,1.33307147,200000,0.006,2450,12,16,0.072,50000000
p300000_ds0.004_rho2500_nH18_T10_Ep5e7_mu0.50,-2.874210596,-6.665940285,3.348849058,300000,0.004,2500,18,10,0.072,50000000
p200000_ds0.005_rho2550_nH12_T12_Ep5e7_mu0.50,-3.166201591,-8.000004768,1.620914578,200000,0.005,2550,12,12,0.06,50000000
p200000_ds0.005_rho2450_nH12_T14_Ep5e7_mu0.50,-3.170579433,-7.987856865,1.705665708,200000,0.005,2450,12,14,0.06,50000000
p300000_ds0.004_rho2500_nH18_T18_Ep5e7_mu0.50,-2.857899666,-5.657354355,5.884391785,300000,0.004,2500,18,18,0.072,50000000
p300000_ds0.004_rho2550_nH18_T14_Ep5e7_mu0.50,-2.933161736,-5.85017395,5.842036247,300000,0.004,2550,18,14,0.072,50000000
p300000_ds0.004_rho2350_nH18_T14_Ep5e7_mu0.50,-2.904763937,-5.760748386,6.081172943,300000,0.004,2350,18,14,0.072,50000000
p240000_ds0.007_rho2500_nH15_T18_Ep5e7_mu0.50,-3.085088491,-8.09822464,0.766150355,240000,0.007,2500,15,18,0.105,50000000
p320000_ds0.004_rho2600_nH20_T18_Ep5e7_mu0.50,-2.727760553,-6.100400925,3.601927042,320000,0.004,2600,20,18,0.08,50000000
p400000_ds0.006_rho2400_nH25_T20_Ep5e7_mu0.50,-2.745540142,-5.909736633,4.413009644,400000,0.006,2400,25,20,0.15,50000000
p400000_ds0.004_rho2500_nH25_T14_Ep5e7_mu0.50,-2.806713104,-6.157869816,4.244757175,400000,0.004,2500,25,14,0.1,50000000
